Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-05-15,1.31694,1.54946,1.31694,1.54946,721.1111110775
2012-05-23,1.23951,1.39448,1.23951,1.39448,314.666666652
2012-06-06,1.39448,1.39448,1.39448,1.39448,192.6324786235
2012-06-28,1.39448,1.54946,1.39448,1.54946,781.6239315875
2012-06-29,1.54946,1.6268,1.54946,1.6268,984.341880296
2012-07-02,1.54946,1.78177,1.54946,1.78177,1253.6239315655
2012-07-03,1.47192,1.47192,1.47192,1.47192,385.264957247
2012-07-04,1.6268,1.70433,1.6268,1.70433,1345.401709339
2012-07-05,1.93665,2.01409,1.85931,2.01409,741.2820512475
2012-07-06,2.32394,2.78896,2.32394,2.78896,654.5470085165
2012-07-11,2.2465,2.63409,2.2465,2.63409,1395.829059764
2012-07-12,2.32394,2.32394,2.32394,2.32394,152.2905982835
2012-07-13,2.47901,2.47901,2.47901,2.47901,329.7948717795
2012-07-16,2.47901,2.47901,2.32394,2.32394,639.418803389
2012-07-17,2.32394,2.32394,2.32394,2.32394,385.264957247
2012-07-19,2.32394,2.32394,2.32394,2.32394,127.076923071
2012-07-24,2.32394,2.32394,2.09172,2.09172,512.341880318
2012-07-25,2.2465,2.2465,2.2465,2.2465,594.0341880065
2012-07-30,2.32394,2.32394,2.32394,2.32394,299.5384615245
2012-08-02,2.40157,2.55645,2.40157,2.40157,3537.982905818
2012-08-06,2.16916,2.16916,2.16916,2.16916,127.076923071
2012-08-09,2.2465,2.2465,2.2465,2.2465,259.1965811845
2012-08-10,2.16916,2.16916,2.09172,2.09172,334.837606822
2012-08-27,2.32394,2.32394,2.32394,2.32394,167.418803411
2012-09-07,2.09172,2.2465,2.01409,2.2465,466.9572649355
2012-09-12,2.09172,2.16916,1.85931,2.16916,873.401709361
2012-09-13,2.09172,2.32394,2.09172,2.32394,502.256410233
2012-09-19,2.32394,2.32394,1.93665,2.32394,2152.239316139
2012-09-25,1.93665,1.93665,1.93665,1.93665,127.076923071
2012-09-28,2.01409,2.01409,1.6268,1.93665,6126.9230766375
2012-10-01,1.93665,1.93665,1.93665,1.93665,441.743589723
2012-10-02,1.6268,1.6268,1.54946,1.54946,1385.743589679
2012-10-03,1.70433,1.70433,1.70433,1.70433,649.504273474
2012-10-09,1.47192,1.47192,1.47192,1.47192,1288.923076863
2012-10-10,1.47192,1.6268,1.47192,1.6268,649.504273474
2012-10-11,1.31694,1.70433,1.31694,1.70433,1355.487179424
2012-10-12,1.70433,1.70433,1.70433,1.70433,649.504273474
2012-10-15,1.70433,1.70433,1.70433,1.70433
2012-10-16,1.70433,1.78177,1.70433,1.78177,512.341880318
2012-10-17,1.70433,1.70433,1.70433,1.70433,259.1965811845
2012-10-18,1.85931,1.85931,1.85931,1.85931
2012-10-19,1.85931,1.85931,1.85931,1.85931
2012-10-22,1.85931,1.85931,1.85931,1.85931,1451.2991452315
2012-10-23,1.93665,1.93665,1.93665,1.93665
2012-10-25,1.93665,2.32394,1.78177,2.01409,22455.299144252
2012-10-26,1.93665,2.01409,1.70433,1.85931,3685.230769059
2012-10-29,1.70433,1.78177,1.6268,1.78177,1461.3846153165
2012-10-30,1.85931,1.85931,1.85931,1.85931,259.1965811845
2012-10-31,1.85931,1.85931,1.70433,1.85931,502.256410233
2012-11-02,1.70433,1.85931,1.70433,1.85931,227.931623921
2012-11-06,1.85931,1.93665,1.78177,1.85931,1583.418803345
2012-11-07,1.93665,1.93665,1.93665,1.93665,5.0427350425
2012-11-08,1.93665,1.93665,1.93665,1.93665
2012-11-09,1.85931,1.85931,1.70433,1.70433,1050.905982857
2012-11-13,1.70433,1.70433,1.54946,1.70433,1050.905982857
2012-11-14,1.6268,1.78177,1.54946,1.78177,512.341880318
2012-11-16,1.6268,1.78177,1.6268,1.78177,664.6324786015
2012-11-19,1.54946,1.6268,1.47192,1.6268,1690.324786246
2012-11-20,1.39448,1.54946,1.39448,1.54946,289.4529914395
2012-11-22,1.6268,1.6268,1.6268,1.6268,324.752136737
2012-11-23,1.6268,1.6268,1.54946,1.6268,674.7179486865
2012-11-29,1.54946,1.6268,1.47192,1.6268,1487.6068375375
2012-11-30,1.47192,1.6268,1.47192,1.6268,259.1965811845
2012-12-03,1.47192,1.47192,1.47192,1.47192,918.7863247435
2012-12-04,1.47192,1.54946,1.47192,1.54946,127.076923071
2012-12-05,1.47192,1.47192,1.47192,1.47192,127.076923071
2012-12-06,1.47192,1.47192,1.39448,1.39448,1487.6068375375
2012-12-10,1.47192,1.54946,1.39448,1.54946,451.829059808
2012-12-11,1.54946,1.54946,1.54946,1.54946,801.7948717575
2012-12-12,1.70433,1.70433,1.70433,1.70433,573.8632478365
2012-12-13,1.6268,1.6268,1.6268,1.6268,75.6410256375
2012-12-14,1.6268,1.6268,1.6268,1.6268,127.076923071
2012-12-17,1.70433,1.70433,1.54946,1.54946,1415.999999934
2012-12-18,1.6268,1.70433,1.6268,1.70433,6989.230768905
2012-12-19,1.70433,1.78177,1.70433,1.78177,2878.393162259
2012-12-20,1.78177,1.78177,1.78177,1.78177,969.2136751685
2012-12-21,1.78177,1.85931,1.70433,1.85931,1299.008546948
2012-12-28,1.70433,1.85931,1.6268,1.85931,781.6239315875
2013-01-02,1.93665,2.16916,1.93665,2.16916,274.324786312
2013-01-03,1.93665,2.01409,1.93665,1.93665,1944.478632388
2013-01-04,1.93665,1.93665,1.85931,1.85931,1421.0427349765
2013-01-07,1.93665,1.93665,1.85931,1.85931,1188.068376013
2013-01-08,1.85931,1.85931,1.78177,1.85931,401.401709383
2013-01-09,1.85931,2.16916,1.85931,2.16916,4969.1111108795
2013-01-10,2.16916,2.16916,2.01409,2.16916,10781.367520865
2013-01-11,2.09172,2.09172,2.01409,2.09172,3573.2820511155
2013-01-14,2.09172,2.16916,2.09172,2.16916,1538.0341879625
2013-01-15,2.16916,2.16916,1.93665,2.09172,3938.3760681925
2013-01-16,2.09172,2.16916,2.09172,2.09172,5680.136751872
2013-01-17,2.09172,2.16916,2.01409,2.16916,1020.649572602
2013-01-18,2.16916,2.16916,2.01409,2.16916,1497.6923076225
2013-01-22,2.01409,2.09172,2.01409,2.09172,471.999999978
2013-01-23,2.01409,2.09172,2.01409,2.09172,842.1367520975
2013-01-24,2.09172,2.09172,2.01409,2.09172,629.333333304
2013-01-25,2.09172,2.16916,2.09172,2.16916,1588.4615383875
2013-01-28,2.16916,2.16916,2.01409,2.16916,3121.4529913075
2013-01-29,2.01409,2.16916,2.01409,2.16916,309.6239316095
2013-01-30,2.09172,2.16916,2.09172,2.16916,2517.333333216
2013-02-04,2.01409,2.16916,1.93665,2.16916,1162.8547008005
2013-02-08,1.93665,2.01409,1.93665,2.01409,1330.2735042115
2013-02-11,2.09172,2.09172,2.09172,2.09172,65.5555555525
2013-02-12,2.09172,2.09172,2.09172,2.09172,25.2136752125
2013-02-13,1.93665,2.01409,1.93665,2.01409,1700.410256331
2013-02-14,1.93665,1.93665,1.85931,1.93665,1340.3589742965
2013-02-15,1.93665,1.93665,1.93665,1.93665,127.076923071
2013-02-19,1.85931,1.93665,1.85931,1.93665,512.341880318
2013-02-20,1.93665,1.93665,1.93665,1.93665,507.2991452755
2013-02-21,1.85931,1.85931,1.85931,1.85931,385.264957247
2013-02-22,1.85931,2.01409,1.85931,2.01409,903.658119616
2013-02-25,2.01409,2.01409,2.01409,2.01409,284.410256397
2013-03-01,2.01409,2.09172,2.01409,2.09172,339.8803418645
2013-03-04,2.09172,2.09172,2.01409,2.09172,1055.9487178995
2013-03-05,2.01409,2.16916,2.01409,2.16916,1268.752136693
2013-03-06,2.09172,2.09172,1.93665,2.09172,721.1111110775
2013-03-07,2.01409,2.01409,2.01409,2.01409,259.1965811845
2013-03-08,2.09172,2.09172,2.09172,2.09172,15.1282051275
2013-03-12,2.09172,2.09172,2.01409,2.01409,654.5470085165
2013-03-13,2.01409,2.01409,2.01409,2.01409,65.5555555525
2013-03-14,2.09172,2.09172,2.01409,2.01409,776.581196545
2013-03-15,2.09172,2.16916,2.09172,2.16916,694.8888888565
2013-03-18,2.01409,2.16916,1.93665,2.16916,207.760683751
2013-03-19,2.09172,2.09172,2.09172,2.09172,111.9487179435
2013-03-20,2.01409,2.01409,2.01409,2.01409,259.1965811845
2013-03-21,1.93665,1.93665,1.93665,1.93665,1238.495726438
2013-03-22,2.01409,2.16916,2.01409,2.09172,1999.9487178555
2013-03-25,2.01409,2.09172,1.93665,2.09172,391.316239298
2013-03-26,1.70433,1.85931,1.70433,1.85931,3817.3504271725
2013-03-27,1.85931,1.85931,1.85931,1.85931,512.341880318
2013-03-28,1.78177,1.85931,1.78177,1.85931,259.1965811845
2013-04-08,1.85931,1.93665,1.85931,1.93665,649.504273474
2013-04-10,1.85931,2.09172,1.85931,2.09172,274.324786312
2013-04-17,2.01409,2.09172,2.01409,2.09172,1288.923076863
2013-04-22,1.85931,2.01409,1.85931,2.01409,259.1965811845
2013-04-25,1.85931,2.01409,1.85931,2.01409,649.504273474
2013-05-06,2.01409,2.01409,2.01409,2.01409,512.341880318
2013-05-07,1.93665,2.01409,1.93665,2.01409,319.7094016945
2013-05-08,1.85931,1.93665,1.70433,1.93665,1675.1965811185
2013-05-09,1.93665,1.93665,1.93665,1.93665,578.905982879
2013-05-10,1.93665,1.93665,1.78177,1.93665,1421.0427349765
2013-05-13,1.78177,1.93665,1.78177,1.93665,111.9487179435
2013-05-14,1.78177,1.78177,1.6268,1.78177,1355.487179424
2013-05-16,1.6268,1.6268,1.6268,1.6268,2604.068375947
2013-05-17,1.54946,1.70433,1.54946,1.70433,888.5299144885
2013-06-05,1.70433,1.70433,1.70433,1.70433,716.068376035
2013-06-06,1.70433,1.78177,1.70433,1.78177,578.905982879
2013-06-13,1.78177,1.78177,1.78177,1.78177,679.760683729
2013-06-14,1.78177,1.78177,1.78177,1.78177,269.2820512695
2013-06-17,1.85931,1.85931,1.85931,1.85931,766.49572646
2013-06-24,1.78177,1.85931,1.78177,1.85931,127.076923071
2013-06-28,1.85931,1.93665,1.85931,1.93665,664.6324786015
2013-07-01,1.70433,1.78177,1.70433,1.78177,2578.8547007345
2013-07-05,1.70433,1.70433,1.70433,1.70433,1314.1367520755
2013-07-08,1.78177,1.78177,1.78177,1.78177,436.7008546805
2013-07-16,1.70433,1.70433,1.70433,1.70433,401.401709383
2013-07-18,1.70433,1.70433,1.70433,1.70433,35.2991452975
2013-07-22,1.6268,1.70433,1.6268,1.70433,1578.3760683025
2013-07-23,1.6268,1.70433,1.6268,1.70433,649.504273474
2013-08-01,1.6268,1.6268,1.6268,1.6268,385.264957247
2013-08-05,1.70433,1.78177,1.70433,1.78177,3101.2820511375
2013-08-08,1.6268,1.78177,1.6268,1.78177,786.66666663
2013-08-09,1.6268,1.78177,1.6268,1.78177,527.4700854455
2013-08-14,1.70433,1.70433,1.70433,1.70433,659.589743559
2013-08-19,1.70433,1.70433,1.70433,1.70433,324.752136737
2013-08-21,1.70433,1.78177,1.6268,1.78177,385.264957247
2013-08-23,1.6268,1.70433,1.6268,1.70433,127.076923071
2013-08-28,1.6268,1.6268,1.6268,1.6268,259.1965811845
2013-08-30,1.70433,1.78177,1.70433,1.78177,558.735042709
2013-09-02,1.78177,1.78177,1.78177,1.78177
2013-09-03,1.78177,1.93665,1.78177,1.93665,6532.3589740545
2013-09-09,1.85931,1.93665,1.85931,1.93665,401.401709383
2013-09-13,1.78177,1.78177,1.78177,1.78177,1939.4358973455
2013-09-19,1.70433,1.70433,1.6268,1.70433,1497.6923076225
2013-10-04,1.6268,1.70433,1.6268,1.70433,289.4529914395
2013-10-15,1.6268,1.6268,1.6268,1.6268,943.999999956
2013-10-23,1.54946,1.6268,1.47192,1.6268,1431.1282050615
2013-10-24,1.47192,1.54946,1.47192,1.54946,716.068376035
2013-10-30,1.39448,1.39448,1.39448,1.39448,55.4700854675
2013-11-04,1.39448,1.47192,1.39448,1.47192,1355.487179424
2013-11-08,1.39448,1.39448,1.39448,1.39448,4324.649572448
2013-11-12,1.39448,1.39448,1.39448,1.39448,1573.33333326
2013-11-13,1.47192,1.47192,1.47192,1.47192
2013-11-19,1.39448,1.39448,1.39448,1.39448,385.264957247
2013-11-21,1.39448,1.39448,1.39448,1.39448,142.2051281985
2013-11-22,1.39448,1.39448,1.39448,1.39448,741.2820512475
2013-11-26,1.39448,1.39448,1.39448,1.39448,25.2136752125
2013-12-02,1.47192,1.47192,1.47192,1.47192,1649.982905906
2013-12-09,1.47192,1.47192,1.47192,1.47192,192.6324786235
2013-12-12,1.47192,1.47192,1.47192,1.47192,259.1965811845
2013-12-18,1.47192,1.47192,1.47192,1.47192
2013-12-19,1.39448,1.47192,1.39448,1.47192,679.760683729
2013-12-27,1.47192,1.47192,1.47192,1.47192,187.589743581
2013-12-30,1.47192,1.54946,1.47192,1.54946,1740.752136671
2014-01-07,1.6268,1.6268,1.6268,1.6268,431.658119638
2014-01-08,1.54946,1.54946,1.54946,1.54946,142.2051281985
2014-01-09,1.70433,1.70433,1.70433,1.70433,50.427350425
2014-01-22,1.70433,1.70433,1.70433,1.70433,249.1111110995
2014-02-04,1.47192,1.54946,1.47192,1.54946,2563.726495607
2014-02-05,1.54946,1.54946,1.47192,1.47192,731.1965811625
2014-02-10,1.47192,1.47192,1.47192,1.47192,1365.572649509
2014-02-11,1.47192,1.47192,1.47192,1.47192,137.162393156
2014-02-13,1.47192,1.47192,1.39448,1.47192,1304.0512819905
2014-02-25,1.47192,1.47192,1.47192,1.47192,512.341880318
2014-02-27,1.47192,1.47192,1.47192,1.47192,116.991452986
2014-03-03,1.47192,1.47192,1.39448,1.39448,938.9572649135
2014-03-04,1.47192,1.47192,1.47192,1.47192,716.068376035
2014-03-07,1.39448,1.39448,1.39448,1.39448,883.487179446
2014-03-10,1.31694,1.31694,1.31694,1.31694,406.4444444255
2014-03-12,1.39448,1.39448,1.39448,1.39448,2182.495726394
2014-03-17,1.39448,1.47192,1.39448,1.47192,1670.153846076
2014-03-18,1.47192,2.01409,1.47192,2.01409,16369.726494963
2014-03-19,2.32394,3.09862,2.01409,2.2465,33621.931622365
2014-03-20,2.47901,2.47901,2.16916,2.2465,2324.7008545925
2014-03-21,2.32394,2.32394,2.01409,2.32394,821.9658119275
2014-03-24,2.01409,2.32394,2.01409,2.32394,2070.5470084505
2014-03-25,2.01409,2.16916,2.01409,2.16916,634.3760683465
2014-03-26,2.01409,2.16916,2.01409,2.16916,1151.760683707
2014-03-27,2.01409,2.16916,2.01409,2.16916,249.1111110995
2014-03-28,2.01409,2.01409,2.01409,2.01409,360.0512820345
2014-03-31,2.16916,2.16916,2.16916,2.16916,40.34188034
2014-04-01,2.16916,2.16916,1.93665,1.93665,406.4444444255
2014-04-02,2.16916,2.16916,1.93665,1.93665,2781.572649443
2014-04-04,2.16916,2.55645,1.85931,2.55645,2385.2136751025
2014-04-07,2.55645,3.4861,2.40157,2.8663,6766.3418800265
2014-04-08,2.8663,3.4861,2.8663,3.4861,13049.589742981
2014-04-09,3.64098,3.64098,3.33113,3.64098,3324.170940016
2014-04-10,3.64098,3.64098,3.09862,3.09862,1304.0512819905
2014-04-11,3.02138,3.40857,2.94394,3.40857,1071.076923027
2014-04-14,3.09862,3.09862,3.09862,3.09862,365.094017077
2014-04-24,2.94394,2.94394,2.94394,2.94394,249.1111110995
2014-04-28,2.94394,2.94394,2.94394,2.94394,4354.905982703
2014-04-30,2.8663,2.8663,2.8663,2.8663,10.085470085
2014-05-02,2.8663,2.8663,2.8663,2.8663,116.991452986
2014-05-05,2.63409,2.63409,2.63409,2.63409,269.2820512695
2014-05-06,3.09862,3.17625,2.94394,2.94394,7847.5042731385
2014-05-07,2.8663,2.8663,2.8663,2.8663,375.179487162
2014-05-13,2.78896,2.78896,2.78896,2.78896,192.6324786235
2014-05-16,2.94394,2.94394,2.94394,2.94394,776.581196545
2014-05-22,2.71152,2.71152,2.71152,2.71152,10.085470085
2014-05-27,3.02138,3.02138,3.02138,3.02138,167.418803411
2014-05-30,2.71152,2.71152,2.71152,2.71152,249.1111110995
2014-06-05,2.71152,2.71152,2.71152,2.71152,801.7948717575
2014-06-06,2.71152,2.71152,2.71152,2.71152,172.4615384535
2014-06-27,3.09862,3.09862,3.09862,3.09862,25942.854699645
2014-07-01,3.25369,3.25369,3.25369,3.25369,746.32478629
2014-07-02,3.02138,3.02138,3.02138,3.02138,543.6068375815
2014-07-04,3.33113,3.4861,3.33113,3.4861,50788.410254043
2014-07-07,3.17625,3.40857,3.17625,3.40857,2726.1025639755
2014-07-11,3.40857,3.40857,3.40857,3.40857,67122.837603709
2014-07-14,3.4861,3.4861,3.4861,3.4861,17313.726494919
2014-07-16,3.17625,3.25369,3.17625,3.25369,12907.384614783
2014-07-22,3.25369,3.25369,3.25369,3.25369,207.760683751
2014-07-23,3.17625,3.4861,3.17625,3.4861,37561.316237565
2014-07-24,3.79606,4.18334,3.79606,4.18334,512.341880318
2014-07-25,4.18334,4.18334,4.18334,4.18334,324.752136737
2014-07-28,3.4861,3.4861,3.4861,3.4861,827.00854697
2014-07-29,3.64098,3.64098,3.64098,3.64098,411.487179468
2014-07-30,3.64098,3.64098,3.64098,3.64098,239.0256410145
2014-08-01,3.4861,3.4861,3.4861,3.4861,40.34188034
2014-08-05,3.95093,3.95093,3.95093,3.95093,309.6239316095
2014-08-06,3.87349,3.87349,3.87349,3.87349,269.2820512695
2014-08-11,3.87349,3.87349,3.87349,3.87349,60.51282051
2014-08-12,3.4861,3.4861,3.4861,3.4861,142.2051281985
2014-08-13,3.79606,4.18334,3.79606,4.18334,24058.888887767
2014-08-14,4.64817,5.26797,4.64817,5.26797,1740.752136671
2014-08-18,5.81014,6.97211,5.81014,6.97211,791.7094016725
2014-08-19,8.36679,9.99358,6.73979,9.45122,979.2991452535
2014-08-20,9.37388,9.37388,7.66955,7.74699,1964.649572558
2014-08-21,7.66955,7.66955,6.97211,6.97211,35.2991452975
2014-08-22,6.97211,7.66955,6.97211,7.66955,25.2136752125
2014-08-25,6.97211,6.97211,6.97211,6.97211,152.2905982835
2014-08-26,6.19763,6.19763,5.03546,5.03546,116.991452986
2014-08-27,4.64817,5.34551,3.87349,5.34551,2878.393162259
2014-09-01,4.72551,5.34551,4.72551,4.72551,249.1111110995
2014-09-02,5.26797,5.34551,5.26797,5.34551,10.085470085
2014-09-10,4.33822,4.64817,3.87349,3.87349,1593.50427343
2014-09-11,4.26098,5.03546,4.26098,5.03546,339.8803418645
2014-09-12,4.64817,4.64817,4.64817,4.64817,192.6324786235
2014-09-17,4.72551,4.72551,4.72551,4.72551,30.256410255
2014-09-22,4.64817,4.64817,4.64817,4.64817,227.931623921
2014-09-29,4.95802,5.50039,4.95802,5.50039,12359.743589167
2014-09-30,5.81014,6.97211,5.81014,5.81014,11917.999999444
2014-10-01,5.81014,6.19763,5.42295,6.19763,8004.8376064645
2014-10-02,6.50758,7.3596,6.50758,7.3596,7725.47008511
2014-10-03,7.51447,7.51447,7.28216,7.3596,259.1965811845
2014-10-06,7.51447,8.44423,7.51447,8.44423,4167.316239122
